,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
207,2025-12-19T09:04:59-03:00,2025-12-19T12:04:59.000Z,TREND,SHORT,0.0799168864381043,125.13,124.98,0.0119875329657149,0.000011987532965714976,0.0171876179897805,0.6974516755516971,DELTA_FLIP_LONG
209,2025-12-19T09:06:59-03:00,2025-12-19T12:06:59.000Z,TREND,LONG,0.0800128020483277,124.98,124.96,-0.0016002560409673,-0.0000016002560409673732,0.0182080140295561,-0.08788745649963196,DELTA_FLIP_SHORT
211,2025-12-19T09:08:59-03:00,2025-12-19T12:08:59.000Z,TREND,SHORT,0.0800256081946222,124.96,125.12,-0.0128040973111404,-0.00001280409731114043,0.0182745316577617,-0.7006525557497473,TRAIL_SL_SHORT
213,2025-12-19T09:18:59-03:00,2025-12-19T12:18:59.000Z,TREND,LONG,0.0795102170628925,125.77,125.44,-0.0262383716307544,-0.000026238371630754418,0.0220073637297718,-1.192254190594344,TRAIL_SL_LONG
215,2025-12-19T09:25:59-03:00,2025-12-19T12:25:59.000Z,TREND,LONG,0.0793650793650793,126,125.93,-0.005555555555555,-0.000005555555555555014,0.0245719680736244,-0.22609322700196505,DELTA_FLIP_SHORT
217,2025-12-19T09:33:59-03:00,2025-12-19T12:33:59.000Z,TREND,SHORT,0.0794091955848487,125.93,125.74,0.0150877471611222,0.000015087747161122206,0.0238849688181061,0.6316837704927155,TRAIL_SL_SHORT
219,2025-12-19T09:55:59-03:00,2025-12-19T12:55:59.000Z,TREND,LONG,0.0794407372100413,125.88,125.79,-0.0071496663489028,-0.000007149666348902861,0.0188992616517339,-0.3783040036512145,DELTA_FLIP_SHORT
221,2025-12-19T10:00:59-03:00,2025-12-19T13:00:59.000Z,TREND,SHORT,0.0794975753239526,125.79,125.87,-0.006359806025916,-0.0000063598060259160736,0.0192788828470378,-0.3298845724815006,TRAIL_SL_SHORT
223,2025-12-19T10:05:59-03:00,2025-12-19T13:05:59.000Z,TREND,LONG,0.0793335977786592,126.05,126.09,0.0031733439111468,0.0000031733439111468665,0.0178921818758091,0.1773592473614009,DELTA_FLIP_SHORT
225,2025-12-19T10:07:59-03:00,2025-12-19T13:07:59.000Z,TREND,SHORT,0.0793084304861606,126.09,126.06,0.0023792529145849,0.0000023792529145849105,0.0173736581754496,0.1369459955156122,DELTA_FLIP_LONG
227,2025-12-19T10:09:59-03:00,2025-12-19T13:09:59.000Z,TREND,LONG,0.0793273044581945,126.06,126.09,0.0023798191337459,0.000002379819133745925,0.0175701451903717,0.1354467540228422,DELTA_FLIP_SHORT
229,2025-12-19T10:13:59-03:00,2025-12-19T13:13:59.000Z,TREND,SHORT,0.0793084304861606,126.09,126.29,-0.0158616860972323,-0.00001586168609723236,0.016038383376792,-0.9889828497418643,TRAIL_SL_SHORT
